     0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   
0    -1   0    4    0    0    0    0    0    0    2    0    0    4    2    0    2    0    4    0    4    0    4    2    2    0    0    0    0    0    2    0    0    0    
1    4    -1   0    2    2    4    2    0    2    0    0    2    0    0    2    0    2    0    2    0    0    0    0    0    2    0    2    2    0    2    0    0    2    
2    0    4    -1   0    0    0    0    0    0    2    0    0    4    2    0    2    0    4    0    4    0    4    2    2    0    0    0    0    0    2    0    0    0    
3    2    0    2    -1   0    2    4    2    0    2    2    0    0    2    2    2    2    0    0    0    2    0    2    2    0    2    0    4    2    0    2    2    2    
4    2    0    2    2    -1   2    0    0    2    0    0    2    0    0    0    0    0    0    4    0    0    0    0    0    2    0    2    0    0    0    0    0    0    
5    4    0    4    0    0    -1   2    0    2    0    0    2    0    0    2    0    2    0    2    0    0    0    0    0    2    0    2    2    0    2    0    0    2    
6    2    0    2    0    2    0    -1   2    0    2    2    0    0    2    2    2    2    0    0    0    2    0    2    2    0    2    0    4    2    0    2    2    2    
7    0    0    0    2    0    0    2    -1   2    0    4    0    0    0    2    0    2    0    0    0    4    0    0    0    2    4    2    2    4    2    4    4    2    
8    2    0    2    2    0    0    2    2    -1   2    2    0    0    2    2    2    2    0    2    0    2    0    2    2    4    2    4    0    2    0    2    2    2    
9    0    2    0    0    2    2    0    0    0    -1   0    0    2    4    2    4    2    2    0    2    0    2    4    4    2    0    2    2    0    2    0    0    2    
10   0    0    0    2    0    0    2    4    2    0    -1   0    0    0    2    0    2    0    0    0    4    0    0    0    2    4    2    2    4    2    4    4    2    
11   2    0    2    2    0    0    2    0    2    4    0    -1   0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    2    0    0    0    
12   0    4    0    2    2    4    2    0    2    0    0    2    -1   2    0    2    0    4    0    4    0    4    2    2    0    0    0    0    0    2    0    0    0    
13   0    2    0    0    2    2    0    0    0    0    0    4    0    -1   2    4    2    2    0    2    0    2    4    4    2    0    2    2    0    2    0    0    2    
14   2    0    2    0    0    0    0    2    0    0    2    2    2    0    -1   2    4    0    0    0    2    0    2    2    2    2    2    2    2    2    2    2    4    
15   0    2    0    0    2    2    0    0    0    0    0    4    0    0    0    -1   2    2    0    2    0    2    4    4    2    0    2    2    0    2    0    0    2    
16   2    0    2    0    0    0    0    2    0    0    2    2    2    0    0    0    -1   0    0    0    2    0    2    2    2    2    2    2    2    2    2    2    4    
17   0    4    0    2    2    4    2    0    2    0    0    2    0    0    2    0    2    -1   0    4    0    4    2    2    0    0    0    0    0    2    0    0    0    
18   2    0    2    2    0    0    2    0    0    2    0    0    2    2    0    2    0    2    -1   0    0    0    0    0    2    0    2    0    0    0    0    0    0    
19   0    4    0    2    2    4    2    0    2    0    0    2    0    0    2    0    2    0    2    -1   0    4    2    2    0    0    0    0    0    2    0    0    0    
20   0    0    0    2    0    0    2    4    2    0    4    0    0    0    2    0    2    0    0    0    -1   0    0    0    2    4    2    2    4    2    4    4    2    
21   0    4    0    2    2    4    2    0    2    0    0    2    0    0    2    0    2    0    2    0    0    -1   2    2    0    0    0    0    0    2    0    0    0    
22   0    2    0    0    2    2    0    0    0    0    0    4    0    0    0    0    0    0    2    0    0    0    -1   4    2    0    2    2    0    2    0    0    2    
23   0    2    0    0    2    2    0    0    0    0    0    4    0    0    0    0    0    0    2    0    0    0    0    -1   2    0    2    2    0    2    0    0    2    
24   2    0    2    2    0    0    2    2    0    0    2    2    2    0    0    0    0    2    0    2    2    2    0    0    -1   2    4    0    2    0    2    2    2    
25   0    0    0    2    0    0    2    4    2    0    4    0    0    0    2    0    2    0    0    0    4    0    0    0    2    -1   2    2    4    2    4    4    2    
26   2    0    2    2    0    0    2    2    0    0    2    2    2    0    0    0    0    2    0    2    2    2    0    0    0    2    -1   0    2    0    2    2    2    
27   2    0    2    0    2    0    0    2    2    0    2    2    2    0    0    0    0    2    2    2    2    2    0    0    2    2    2    -1   2    0    2    2    2    
28   0    0    0    2    0    0    2    4    2    0    4    0    0    0    2    0    2    0    0    0    4    0    0    0    2    4    2    2    -1   2    4    4    2    
29   2    2    2    0    0    2    0    2    0    2    2    2    2    2    2    2    2    2    0    2    2    2    2    2    0    2    0    0    2    -1   2    2    2    
30   0    0    0    2    0    0    2    4    2    0    4    0    0    0    2    0    2    0    0    0    4    0    0    0    2    4    2    2    4    2    -1   4    2    
31   0    0    0    2    0    0    2    4    2    0    4    0    0    0    2    0    2    0    0    0    4    0    0    0    2    4    2    2    4    2    4    -1   2    
32   2    0    2    0    0    0    0    2    0    0    2    2    2    0    0    0    0    2    0    2    2    2    0    0    0    2    0    0    2    2    2    2    -1   
